State	Zip	Utility_Provider
KS	66030	Kansas City Power & Light
KS	66227	Westar Energy
KS	66062	Kansas City Power & Light
KS	66086	Rolling Hills Electric Cooperative
KS	66007	Other
KS	66101	Kansas City Board of Public Utilities
KS	66111	Kansas City Board of Public Utilities
KS	66103	Kansas City Board of Public Utilities
KS	66043	Westar Energy
KS	66210	Kansas City Power & Light
KS	66207	Kansas City Power & Light
KS	66226	Westar Energy
KS	66053	Kansas City Power & Light
KS	66052	Westar Energy
KS	67059	Other
KS	67013	Westar Energy
KS	66224	Kansas City Power & Light
KS	66070	Westar Energy
KS	66111	Kansas City Power & Light
KS	66093	Other
KS	66217	Kansas City Power & Light
KS	66221	Kansas City Power & Light
KS	67869	Other
KS	66549	Bluestem Electric
KS	66104	Other
KS	66214	Kansas City Power & Light
KS	66852	Westar Energy
KS	66956	Midwest Energy
KS	66211	Kansas City Power & Light
KS	67210	Westar Energy
KS	66724	Westar Energy
KS	66777	Other
KS	67756	Prarie Land Electric Co-op
KS	67337	Westar Energy
KS	67502	Westar Energy
KS	66761	Westar Energy
KS	66106	Kansas City Power & Light
KS	66088	Other
KS	67454	Rolling Hills Electric Cooperative
KS	67637	Midwest Energy
KS	66067	Kansas City Power & Light
KS	67337	Coffeyville Municipal Light and Power
KS	66512	Westar Energy
KS	66083	Westar Energy
KS	67575	Midwest Energy
KS	67601	Midwest Energy
KS	66033	Kansas City Power & Light
KS	67748	Midwest Energy
KS	67215	Westar Energy
KS	66866	Westar Energy
KS	67124	Other
KS	66782	Other
KS	66434	Westar Energy
KS	67029	Other
KS	67204	Westar Energy
KS	66439	Other
KS	67152	Westar Energy
KS	66537	Other
KS	67642	Midwest Energy
KS	66438	Westar Energy
KS	66047	Westar Energy
KS	66756	Westar Energy
KS	66534	Westar Energy
KS	66933	Prarie Land Electric Co-op
KS	67023	Westar Energy
KS	66716	Westar Energy
KS	66109	Other
KS	66208	Kansas City Power & Light Co
KS	67646	Midwest Energy
KS	94434	City of Palo Alto Utilities
KS	66440	Westar Energy
KS	66509	Other
KS	67756	Midwest Energy
KS	66608	Westar Energy
KS	66413	Westar Energy
KS	66436	Westar Energy
KS	66023	Kansas City Power & Light
KS	66424	Westar Energy
KS	66050	Westar Energy Inc
KS	66701	Other
KS	66616	Westar Energy
KS	83467	Idaho Power
KS	67868	Other
KS	67880	Other
KS	66543	Kansas City Power & Light
KS	66079	Kansas City Power & Light
KS	66508	Other
KS	67882	Other
KS	67464	Other
KS	67749	Other
KS	67335	Westar Energy
KS	66515	Other
KS	66936	Prarie Land Electric Co-op
KS	66962	Prarie Land Electric Co-op
KS	67038	Caney Valley Elec Co-Op Association
KS	74346	Other
KS	67855	Other
KS	67648	Rolling Hills Electric Cooperative
KS	66859	Other
KS	66054	Westar Energy
KS	67484	Westar Energy
KS	67550	Other
KS	51234	Guttenberg Public Works and Utilities
KS	67546	Other
KS	51234	Guthrie County REC
KS	67344	Caney Valley Elec Co-Op Association
KS	67213	Westar Energy Inc
KS	66939	Rolling Hills Electric Cooperative
KS	67522	Westar Energy Inc
KS	66531	Westar Energy Inc
KS	67672	Other
KS	67203	Westar Energy Inc
KS	66067	Other
KS	66413	Kansas City Power & Light
KS	66512	Other
KS	66528	Other
KS	33024	Florida Power & Light
KS	66607	Westar Energy
KS	76067	TXU Energy
KS	66212	Westar Energy
KS	66618	Westar Energy
KS	66612	Westar Energy
KS	66524	Westar Energy
KS	66090	Other
KS	66451	Kansas City Power & Light
KS	66402	Other
KS	66434	Other
KS	66080	Kansas City Power & Light
KS	66436	Other
KS	66017	Westar Energy
KS	66409	Westar Energy
KS	66550	Westar Energy
KS	66023	Westar Energy
KS	66215	Kansas City Power & Light Co
KS	66010	Kansas City Power & Light
KS	66006	Westar Energy
KS	66073	Other
KS	66035	Westar Energy
KS	66413	Other
KS	66078	Other
KS	66013	Kansas City Power & Light
KS	66546	Westar Energy
KS	66533	Other
KS	66020	Westar Energy
KS	66092	Kansas City Power & Light
KS	66086	Other
KS	66006	Other
KS	67430	Other
KS	80723	Other
KS	81003	Black Hills Energy
KS	10471	Other
KS	83669	Idaho Power
KS	33018	Florida Power & Light
KS	64040	Kansas City Power & Light
KS	67801	Caney Valley Elec Co-Op Association
KS	70354	Entergy
KY	42101	Other
KY	40212	Louisville Gas & Electric
KY	41606	American Electric Power
KY	40422	Kentucky Utilities
KY	40356	Blue Grass Energy
KY	40162	Nolin Rural Electric Cooperative
KY	40701	Kentucky Utilities
KY	42101	West Kentucky Rural Electric Cooperative Corporation
KY	40383	Kentucky Utilities
KY	40351	Fleming-Mason Energy Cooperative
KY	42234	Pennyrile Rural Electric Co-Op
KY	40165	Salt River Electric
KY	40033	Other
KY	40312	Clark Energy Cooperative
KY	42276	Pennyrile Rural Electric Co-Op
KY	40403	Other
KY	41831	American Electric Power
KY	41143	American Electric Power
KY	40065	Kentucky Utilities
KY	42528	Other
KY	40514	Kentucky Utilities
KY	42717	Tennessee Valley Authority
KY	41740	Kentucky Utilities
KY	42404	Kenergy Corp
KY	40342	Blue Grass Energy
KY	40059	Louisville Gas & Electric
KY	41858	American Electric Power
KY	42303	Owensboro Municipal Utilities
KY	42047	West Kentucky Rural Electric Cooperative Corporation
KY	41101	American Electric Power
KY	40475	Blue Grass Energy
KY	40953	Other
KY	40152	Other
KY	40701	Other
KY	42441	Kenergy Corp
KY	40391	Clark Energy Cooperative
KY	40023	Louisville Gas & Electric
KY	41824	American Electric Power
KY	41759	American Electric Power
KY	40003	Shelby Energy Cooperative
KY	40484	Other
KY	42503	Other
KY	40475	Kentucky Utilities
KY	42031	Other
KY	40359	Owen Electric
KY	41006	Kentucky Utilities
KY	40511	Kentucky Utilities
KY	42749	Kentucky Utilities
KY	40219	Louisville Gas & Electric
KY	42064	Kenergy Corp
KY	42420	Kenergy Corp
KY	42001	Other
KY	42431	Kenergy Corp
KY	42450	Kenergy Corp
KY	42452	Kenergy Corp
KY	42409	Kenergy Corp
KY	40019	Kentucky Utilities
KY	41544	American Electric Power
KY	42351	Kenergy Corp
KY	42728	Other
KY	40330	Kentucky Utilities
KY	42301	Kenergy Corp
KY	42718	Kentucky Utilities
KY	42455	Kenergy Corp
KY	42757	Other
KY	40004	Other
KY	42303	Kenergy Corp
KY	41168	American Electric Power
KY	42104	Other
KY	40361	Other
KY	40391	Louisville Gas & Electric
KY	42721	Nolin Rural Electric Cooperative
KY	42064	Kentucky Utilities
KY	41367	American Electric Power
KY	42754	Other
KY	41501	Other
KY	42071	West Kentucky Rural Electric Cooperative Corporation
KY	42459	Kenergy Corp
KY	40965	Kentucky Utilities
KY	42055	Kenergy Corp
KY	40351	Grayson Rural Electric Electric Cooperative
KY	41018	Duke Energy Kentucky
KY	41268	American Electric Power
KY	42437	Kenergy Corp
KY	42355	Kenergy Corp
KY	42347	Kenergy Corp
KY	42456	Kenergy Corp
KY	42041	Tennessee Valley Authority
KY	40313	Grayson Rural Electric Electric Cooperative
KY	40213	Louisville Gas & Electric
KY	40460	Kentucky Utilities
KY	42539	Other
KY	40328	Other
KY	40505	Kentucky Utilities
KY	83234	PacifiCorp (Rocky Mountain Power)
KY	40353	Duke Energy Kentucky
KY	42436	Kenergy Corp
KY	41653	Other
KY	42066	West Kentucky Rural Electric Cooperative Corporation
KY	42455	Kentucky Utilities
KY	42170	Other
KY	41537	American Electric Power
KY	40601	Blue Grass Energy
KY	42327	Kenergy Corp
KY	41015	Duke Energy Kentucky
KY	41465	American Electric Power
KY	40855	Kentucky Utilities
KY	42164	Tennessee Valley Authority
KY	40503	Blue Grass Energy
KY	40272	Louisville Gas & Electric
KY	66086	Other
KY	41164	Grayson Rural Electric Electric Cooperative
KY	40977	Other
KY	40517	Kentucky Utilities
KY	24614	Appalachian Power
KY	40823	Other
KY	70615	Entergy
KY	40299	Louisville Gas & Electric
KY	24609	Appalachian Power
KY	40324	Kentucky Utilities
KY	28676	Duke Energy NC
KY	40380	Clark Energy Cooperative
KY	24201	Bristol Virginia Utilities
KY	40863	Other
KY	27803	Other
KY	42076	West Kentucky Rural Electric Cooperative Corporation
KY	41566	American Electric Power
KY	42123	Other
KY	29554	Santee Cooper
KY	29686	Blue Ridge Electric Cooperative
KY	41041	Fleming-Mason Energy Cooperative
KY	42053	Kentucky Utilities
KY	42066	Other
KY	24230	Dominion Virginia Power
KY	85544	Arizona Public Service
KY	85222	Arizona Public Service
KY	32754	Florida Power & Light
KY	78574	Magic Valley
KY	42726	Kentucky Utilities
KY	40160	Nolin Rural Electric Cooperative
KY	16201	West Penn Power
KY	42261	Tennessee Valley Authority
KY	41230	American Electric Power
KY	40037	Other
KY	40734	Other
KY	42236	Pennyrile Rural Electric Co-Op
KY	41031	Kentucky Utilities
KY	41144	American Electric Power
LA	70444	DEMCO
LA	71071	Entergy
LA	71435	Entergy
LA	70764	Pointe Coupee Electric Membership
LA	71446	Beauregard Electric CO-OP
LA	70663	Entergy
LA	70816	DEMCO
LA	70354	Entergy
LA	70131	Entergy
LA	71111	SWEPCO
LA	71360	CLECO
LA	70529	SLECMO
LA	70449	DEMCO
LA	70458	CLECO
LA	71270	Entergy
LA	70056	Entergy
LA	70119	Entergy
LA	70392	CLECO
LA	70080	Entergy
LA	71457	SWEPCO
LA	70818	Entergy
LA	71463	Beauregard Electric CO-OP
LA	70560	CLECO
LA	71119	SWEPCO
LA	71220	Entergy
LA	70583	Other
LA	71259	Entergy
LA	70360	Entergy
LA	70726	DEMCO
LA	70364	Entergy
LA	70068	Entergy
LA	70668	Town of Vinton Electric
LA	70360	Other
LA	70570	CLECO
LA	70510	SLECMO
LA	70586	CLECO
LA	70301	SWEPCO
LA	70461	CLECO
LA	71222	Entergy
LA	70661	Beauregard Electric CO-OP
LA	71235	Entergy
LA	70560	Entergy
LA	71342	Concordia Electric Co-Op
LA	71044	SWEPCO
LA	70037	Entergy
LA	71486	CLECO
LA	70611	Beauregard Electric CO-OP
LA	70532	Entergy
LA	70544	CLECO
LA	70301	Entergy
LA	71291	Entergy
LA	70611	Entergy
LA	70815	Entergy
LA	71322	CLECO
LA	71006	SWEPCO
LA	70420	CLECO
LA	71423	CLECO
LA	70655	Beauregard Electric CO-OP
LA	71112	SWEPCO
LA	71295	Entergy
LA	71106	SWEPCO
LA	70760	Pointe Coupee Electric Membership
LA	70554	CLECO
LA	70546	Entergy
LA	70122	Entergy
LA	71418	Entergy
LA	70062	Entergy
LA	70775	DEMCO
LA	71055	Entergy
LA	71060	SWEPCO
LA	71202	Entergy
LA	70657	Beauregard Electric CO-OP
LA	70507	Lafayette Utilities System
LA	70090	Entergy
LA	70438	CLECO
LA	70714	Entergy
LA	70654	Beauregard Electric CO-OP
LA	70448	CLECO
LA	70533	SLECMO
LA	71270	Claiborne Electric Cooperative
LA	71328	CLECO
LA	70507	SLECMO
LA	70615	Entergy
LA	70065	Entergy
LA	70726	CLECO
LA	71351	Entergy
LA	71241	Entergy
LA	70517	Other
LA	70087	Entergy
LA	71447	CLECO
LA	70461	Washington - St. Tammany Electric Cooperative
LA	71055	CITY OF MINDEN
LA	70447	CLECO
LA	70403	Entergy
LA	71292	Entergy
LA	70460	CLECO
LA	70003	Entergy
LA	70769	Entergy
LA	71061	SWEPCO
LA	70124	Entergy
LA	70607	Entergy
LA	70508	SLECMO
LA	70446	Entergy
LA	70030	Entergy
LA	70454	Entergy
LA	71263	Entergy
LA	70363	Entergy
LA	71467	CLECO
LA	71263	Other
LA	70452	Washington - St. Tammany Electric Cooperative
LA	70661	Etheredge Electric Co
LA	70658	Beauregard Electric CO-OP
LA	70817	DEMCO
LA	70517	SLECMO
LA	70634	Beauregard Electric CO-OP
LA	71465	Entergy
LA	70601	Entergy
LA	70435	Washington - St. Tammany Electric Cooperative
LA	70520	SLECMO
LA	70605	Entergy
LA	71108	SWEPCO
LA	70444	Entergy
LA	70115	Entergy
LA	70706	Entergy
LA	70515	CLECO
LA	71342	Entergy
LA	70647	Entergy
LA	71433	CLECO
LA	70448	Washington - St. Tammany Electric Cooperative
LA	70525	Entergy
LA	70809	Entergy
LA	70401	Entergy
LA	71251	Entergy
LA	70363	Other
LA	70394	Entergy
LA	71303	CLECO
LA	70548	SLECMO
LA	85365	Arizona Public Service
LA	71072	Claiborne Electric Cooperative
LA	70508	Entergy
LA	70661	Entergy
LA	70393	Entergy
LA	71479	Entergy
LA	70769	DEMCO
LA	33417	Florida Public Utility Company Palm Beach
LA	70454	Etheredge Electric Co
LA	70817	Entergy
LA	70814	DEMCO
LA	70785	Entergy
LA	71129	Other
LA	71052	SWEPCO
LA	71465	Concordia Electric Co-Op
LA	71111	Entergy
LA	70733	DEMCO
LA	71234	Claiborne Electric Cooperative
LA	71241	Claiborne Electric Cooperative
LA	70774	DEMCO
LA	3042	Eversource Energy
LA	70514	CLECO
LA	70460	Other
LA	70514	Cleco Power LLC
LA	70121	Entergy
LA	70805	Entergy
LA	70665	Entergy
LA	70549	Entergy
LA	70730	DEMCO
LA	70542	SLECMO
LA	70584	Entergy
LA	70518	Entergy
LA	70431	Washington - St. Tammany Electric Cooperative
LA	70058	Entergy
LA	70427	Entergy
LA	70456	Entergy
LA	70520	Entergy
LA	70508	Lafayette Utilities System
LA	70526	CLECO
LA	70535	CLECO
LA	70669	Beauregard Electric CO-OP
LA	71203	Entergy
LA	71260	Entergy
LA	70380	SLECA
LA	70706	DEMCO
LA	70433	CLECO
LA	70471	Entergy
LA	71220	Other
LA	70526	SLECMO
LA	70726	Entergy
LA	70644	Beauregard Electric CO-OP
LA	70737	Entergy
LA	71346	CLECO
LA	71411	SWEPCO
LA	70114	Entergy
LA	70426	Washington - St. Tammany Electric Cooperative
LA	70811	Entergy
LA	70659	CLECO
LA	70512	SLECMO
LA	70518	SLECMO
LA	71334	Entergy
LA	70380	CLECO
LA	71227	Claiborne Electric Cooperative
LA	70072	Entergy
LA	70806	Entergy
LA	70364	Other
LA	70352	SLECA
LA	71237	Other
LA	71033	SWEPCO
LA	70117	Entergy
LA	70538	Entergy
LA	70040	Entergy
LA	71343	Concordia Electric Co-Op
LA	70131	Entergy New Orleans Inc
LA	71028	Entergy
LA	71024	Entergy
LA	70663	Beauregard Electric CO-OP
LA	70788	Entergy
LA	70726	Cleco Power LLC
LA	70578	SLECMO
LA	70442	Washington - St. Tammany Electric Cooperative
LA	71031	Entergy
LA	70501	Lafayette Utilities System
LA	70006	Entergy
LA	70808	Entergy
LA	70510	Entergy
LA	70774	Entergy
LA	71037	SWEPCO
LA	70591	Other
LA	70452	CLECO
LA	70814	Entergy
LA	70373	Entergy
LA	70397	SLECA
LA	71334	Concordia Electric Co-Op
LA	71461	Beauregard Electric CO-OP
LA	70438	Washington - St. Tammany Electric Cooperative
LA	70656	Beauregard Electric CO-OP
LA	71227	Entergy
LA	71001	Entergy
LA	71063	CLECO
LA	70819	Entergy
LA	71446	SWEPCO
LA	71201	Entergy
LA	70810	Entergy
LA	70582	SLECMO
LA	71449	CLECO
LA	71235	Claiborne Electric Cooperative
LA	71417	CLECO
LA	70764	DEMCO
LA	70506	Lafayette Utilities System
LA	71052	Other
LA	70420	Washington - St. Tammany Electric Cooperative
LA	70563	CLECO
LA	71055	Claiborne Electric Cooperative
LA	71463	CLECO
LA	70090	Entergy Louisiana LLC
LA	70634	CLECO
LA	70816	Entergy
LA	71225	Entergy
LA	71354	Concordia Electric Co-Op
LA	71019	SWEPCO
LA	48624	Consumers Energy
LA	70577	Entergy
LA	71295	Other
LA	70559	SLECMO
LA	70582	Other
LA	70086	Entergy
LA	71043	SWEPCO
LA	71367	CLECO
LA	70450	CLECO
LA	71371	Entergy
LA	70344	Entergy
LA	70651	Beauregard Electric CO-OP
LA	70791	Entergy
LA	70664	Entergy
LA	70471	CLECO
LA	70748	Entergy
LA	70443	DEMCO
LA	71429	SWEPCO
LA	70630	Jefferson Davis Electric Co-Op
LA	71247	Entergy
LA	70453	DEMCO
LA	71260	Claiborne Electric Cooperative
LA	70714	DEMCO
LA	70551	SLECMO
LA	70592	SLECMO
LA	70581	Jefferson Davis Electric Co-Op
LA	70807	Entergy
LA	70591	Entergy
LA	70763	Entergy
LA	70002	Entergy
LA	70542	Other
LA	71438	SWEPCO
LA	71429	CLECO
LA	70785	DEMCO
LA	70003	Entergy Louisiana LLC
LA	70767	Pointe Coupee Electric Membership
LA	71449	SWEPCO
LA	70503	Lafayette Utilities System
LA	70546	Jefferson Davis Electric Co-Op
LA	70047	Entergy
LA	71270	Other
LA	70818	DEMCO
LA	70422	DEMCO
LA	70427	Washington - St. Tammany Electric Cooperative
LA	71282	Entergy
LA	71409	CLECO
LA	70053	Entergy
LA	70390	Entergy
LA	70523	CLECO
LA	70462	Entergy
LA	71411	Cleco Power LLC
LA	70711	DEMCO
LA	70443	Entergy
LA	70739	Entergy
LA	71336	Entergy
LA	70444	Washington - St. Tammany Electric Cooperative
LA	70589	SLECMO
LA	70669	Entergy
LA	70346	Entergy
LA	71353	Other
LA	70592	Entergy
LA	70660	Beauregard Electric CO-OP
LA	70550	SLECMO
LA	70538	CLECO
LA	71107	SWEPCO
LA	70744	Entergy
LA	70764	Entergy
LA	70435	CLECO
LA	70466	Entergy
LA	71450	Southwestern Electric Power Co
LA	71075	SWEPCO
LA	71070	SWEPCO
LA	70739	DEMCO
LA	70437	Washington - St. Tammany Electric Cooperative
LA	70631	Jefferson Davis Electric Co-Op
LA	70648	CLECO
LA	70757	Pointe Coupee Electric Membership
LA	70715	Pointe Coupee Electric Membership
LA	70442	Entergy
LA	71403	SWEPCO
LA	70051	Entergy
LA	71051	SWEPCO
LA	70589	CLECO
LA	70357	Entergy
LA	70570	SLECMO
LA	70652	Beauregard Electric CO-OP
LA	70662	Beauregard Electric CO-OP
LA	71483	Entergy
LA	70549	Jefferson Davis Electric Co-Op
LA	70380	Other
LA	70125	Entergy
LA	70543	SLECMO
LA	70583	SLECMO
LA	70084	Entergy
LA	71342	CLECO
LA	71006	Other
LA	70740	Pointe Coupee Electric Membership
LA	70722	Entergy
LA	70767	Entergy
LA	70445	CLECO
LA	70775	Entergy
LA	70342	CLECO
LA	70128	Entergy
LA	70780	Entergy
LA	70818	Other
LA	70581	Entergy
LA	70043	Entergy
LA	70422	Entergy
LA	70647	Other
LA	70607	Jefferson Davis Electric Co-Op
LA	70001	Entergy
LA	70560	Concordia Electric Co-Op
LA	70734	Entergy
LA	70068	Entergy Louisiana LLC
LA	70339	Entergy New Orleans Inc
LA	70094	Entergy
LA	70630	Entergy
LA	70791	DEMCO
LA	70764	Other
LA	70450	Washington - St. Tammany Electric Cooperative
LA	70445	Washington - St. Tammany Electric Cooperative
LA	70471	Washington - St. Tammany Electric Cooperative
LA	70646	Entergy
LA	70372	Entergy
LA	70737	DEMCO
LA	70533	Entergy Louisiana LLC
LA	70130	Entergy
LA	71064	SWEPCO
LA	70116	Entergy
LA	70776	Entergy
LA	70079	Entergy
LA	70458	Entergy
LA	70070	Entergy
LA	70776	Entergy Louisiana LLC
LA	70129	Entergy
LA	70506	SLECMO
LA	39567	Mississippi Power Company
LA	70510	Other
LA	70647	Entergy Louisiana LLC
LA	70754	Entergy
LA	70582	CLECO
LA	70123	Entergy
LA	70125	Entergy New Orleans Inc
LA	71454	Other
LA	70653	Beauregard Electric CO-OP
LA	70810	Entergy Louisiana LLC
LA	70127	Entergy
LA	70345	Entergy
LA	70719	Entergy
LA	70744	DEMCO
LA	70071	Entergy
LA	70052	Entergy Louisiana LLC
LA	70127	Entergy New Orleans Inc
LA	70126	Entergy
LA	38626	Coahoma EPA
LA	39564	Singing River Electric Power Association
LA	39120	Entergy
LA	29581	Duke Energy SC
LA	70005	Entergy
LA	70460	Cleco Power LLC
LA	70542	Jefferson Davis Electric Co-Op
LA	70065	Entergy Louisiana LLC
LA	70092	Entergy
LA	70427	Entergy Louisiana LLC
LA	70756	Pointe Coupee Electric Membership
LA	70003	CLECO
LA	70528	Entergy
LA	70067	Entergy
LA	70426	Washington-St Tammany E C, Inc
LA	70710	Entergy
LA	70754	DEMCO
LA	70770	DEMCO
LA	70717	Entergy
LA	70072	Other
LA	70802	Entergy
LA	70052	Entergy
LA	70441	DEMCO
LA	70839	DEMCO
LA	70762	Pointe Coupee Electric Membership
LA	70583	Entergy
LA	70341	Entergy
LA	70548	Other
LA	70118	Entergy
LA	71339	Cleco Power LLC
LA	70085	Entergy
LA	70003	Other
LA	70762	Entergy
LA	70520	Other
LA	70503	Other
LA	70555	Entergy
LA	70648	Beauregard Electric CO-OP
LA	70542	Entergy
LA	27107	Duke Energy NC
LA	70420	Cleco Power LLC
LA	70630	Jefferson Davis Elec Coop, Inc
LA	70085	CLECO
LA	70632	Jefferson Davis Electric Co-Op
LA	70339	Entergy
LA	70601	CLECO
LA	70778	Entergy
LA	70516	Other
LA	70643	Jefferson Davis Electric Co-Op
LA	70815	Other
LA	32534	Gulf Power
LA	32507	Gulf Power
LA	70515	SLECMO
LA	70038	Entergy
LA	70356	SLECA
LA	70364	SLECA
LA	70041	Entergy
LA	70535	SLECMO
LA	70083	Other
LA	70374	Entergy
LA	70359	SLECA
LA	70583	CLECO
LA	70438	Washington-St Tammany E C, Inc
LA	70395	Entergy
LA	71356	SLECMO
LA	70555	SLECMO
LA	70714	Entergy Louisiana LLC
LA	39455	Mississippi Power Company
LA	96093	Other
LA	70811	Entergy Louisiana LLC
LA	70359	Entergy
LA	70150	SLECMO
LA	70403	DEMCO
LA	70584	SLECMO
LA	70570	Entergy
LA	70757	Entergy
LA	70517	CLECO
LA	70750	SLECMO
LA	70729	Pointe Coupee Electric Membership
LA	70812	Entergy
LA	70049	Entergy
LA	70820	Entergy
LA	70443	Other
LA	70039	Entergy
LA	71358	SLECMO
LA	71129	SWEPCO
LA	70117	Other
LA	70358	Entergy
LA	70721	Entergy
LA	73438	Other
LA	70075	Entergy
LA	70360	SLECA
LA	70806	Other
LA	70377	Entergy
LA	70057	Entergy
LA	70363	SLECA
LA	70454	Other
LA	70711	Entergy
LA	70578	Other
LA	70785	CLECO
LA	70533	Other
LA	70363	DEMCO
LA	70582	Entergy
LA	70733	Entergy
LA	70805	DEMCO
LA	70570	Other
LA	70729	Entergy
LA	70648	Entergy
LA	70783	Pointe Coupee Electric Membership
LA	70551	Entergy
LA	70083	Entergy
LA	70343	Entergy
LA	70447	Entergy
LA	70586	SLECMO
LA	70426	Entergy
LA	70761	Entergy
LA	70301	Other
LA	70422	Washington - St. Tammany Electric Cooperative
LA	39426	Other
LA	32514	Gulf Power
LA	70462	DEMCO
LA	70777	Entergy
LA	32811	Orlando Utilities Commission
LA	77630	Entergy
LA	70748	DEMCO
LA	70529	Entergy
LA	70002	Jefferson Davis Electric Co-Op
LA	70538	Concordia Electric Co-Op
LA	70542	CLECO
LA	70353	SLECA
LA	70782	DEMCO
LA	70517	Entergy
LA	70512	Entergy
LA	70633	Beauregard Electric CO-OP
LA	70127	Other
LA	70732	Pointe Coupee Electric Membership
LA	70541	Entergy
LA	70335	CLECO
LA	70421	Entergy
LA	70525	SLECMO
LA	70031	Entergy
LA	70508	Other
LA	71355	CLECO
LA	70030	Other
LA	70815	DEMCO
LA	27012	Other
LA	70546	CLECO
LA	70562	SLECMO
LA	70535	Other
LA	57034	Other
LA	71450	SWEPCO
LA	32082	Florida Power & Light
LA	76433	United Cooperative Services
LA	32073	Clay Electric Cooperative
LA	70533	Entergy
LA	70812	Etheredge Electric Co
LA	70510	CLECO
LA	70725	Entergy
LA	70391	Entergy
MA	1463	National Grid
MA	1810	National Grid
MA	1826	National Grid
MA	1886	National Grid
MA	1754	Eversource Energy
MA	1950	National Grid
MA	2332	Eversource Energy
MA	2062	Norwood Municipal Light and Power
MA	1519	National Grid
MA	1453	National Grid
MA	1803	Eversource Energy
MA	2148	Massachusetts Electric
MA	1373	Eversource Energy
MA	2048	Mansfield Municipal Electric
MA	2360	Eversource Energy
MA	1257	National Grid
MA	1960	Peabody Municipal Light Plant
MA	1945	Marblehead Electric Light Department
MA	2124	Eversource Energy
MA	2152	National Grid
MA	1030	Eversource Energy
MA	2019	National Grid
MA	1020	Chicopee Electric Light Department
MA	2343	National Grid
MA	1370	Eversource Energy
MA	1902	National Grid
MA	1220	National Grid
MA	2190	National Grid
MA	1430	Other
MA	1007	National Grid
MA	1913	National Grid
MA	1830	National Grid
MA	2740	NSTAR
MA	1969	Rowley Electric Light Department
MA	1330	Eversource Energy
MA	1532	National Grid
MA	1588	Eversource Energy
MA	2780	City of Taunton
MA	1860	Other
MA	2184	Other
MA	1904	NSTAR
MA	2148	National Grid
MA	2420	Eversource Energy
MA	1772	National Grid
MA	1501	Massachusetts Electric
MA	2132	National Grid
MA	1985	National Grid
MA	1238	Western Massachusetts Electric
MA	2632	Eversource Energy
MA	2769	National Grid
MA	2667	Ambit Energy
MA	2664	Eversource Energy
MA	1301	Northeast Utilities
MA	1887	Reading Municipal Light Department
MA	2346	Other
MA	1778	Eversource Energy
MA	1844	National Grid
MA	2169	National Grid
MA	1027	Eversource Energy
MA	1890	Eversource Energy
MA	1237	National Grid
MA	1451	National Grid
MA	2339	National Grid
MA	2790	Eversource Energy
MA	2128	Other
MA	1236	National Grid
MA	2067	Eversource Energy
MA	2539	Eversource Energy
MA	2043	Hingham Light Department
MA	1054	Eversource Energy
MA	2703	National Grid
MA	2748	NSTAR
MA	2724	National Grid
MA	2338	National Grid
MA	2050	Eversource Energy
MA	1864	Reading Municipal Light Department
MA	2180	Eversource Energy
MA	1053	National Grid
MA	1440	Other
MA	2136	Eversource Energy
MA	1501	Other
MA	2038	National Grid
MA	1364	National Grid
MA	1301	Eversource Energy
MA	2747	Eversource Energy
MA	1880	Wakefield Municipal Gas and Light Department
MA	1002	Eversource Energy
MA	2131	Boston Gas Company
MA	1834	Town of Groveland
MA	1266	National Grid
MA	1264	Eversource Energy
MA	1450	Other
MA	1451	Ambit Energy
MA	2149	National Grid
MA	2720	National Grid
MA	2554	Nantucket Electric
MA	2108	Eversource Energy
MA	2151	National Grid
MA	2125	Eversource Energy
MA	1342	Eversource Energy
MA	2760	North Attleborough Electric Department
MA	1602	National Grid
MA	1452	Marblehead Electric Light Department
MA	2631	Eversource Energy
MA	2554	National Grid
MA	2347	Middleborough Gas and Electric
MA	1606	National Grid
MA	2536	Eversource Energy
MA	2771	National Grid
MA	1344	National Grid
MA	1757	Massachusetts Electric
MA	1845	National Grid
MA	2535	Other
MA	2061	National Grid
MA	1529	National Grid
MA	2557	Eversource Energy
MA	1748	Eversource Energy
MA	1475	National Grid
MA	2767	Taunton Municipal Lighting Plant (TMLP)
MA	1749	Hudson Light and Power
MA	1590	National Grid
MA	1826	Massachusetts Electric
MA	2482	National Grid
MA	2744	NSTAR
MA	1938	Ipswich Utility Department
MA	1550	National Grid
MA	1331	National Grid
MA	1008	Eversource Energy
MA	2764	National Grid
MA	1906	NSTAR
MA	2081	National Grid
MA	1904	National Grid
MA	2769	Other
MA	2657	Eversource Energy
MA	1366	National Grid
MA	1581	National Grid
MA	1915	National Grid
MA	2536	NSTAR
MA	2740	Eversource Energy
MA	1473	National Grid
MA	1843	National Grid
MA	1267	National Grid
MA	2532	National Grid
MA	2322	National Grid
MA	1534	National Grid
MA	2066	National Grid
MA	1985	Eversource Energy
MA	1827	National Grid
MA	2176	National Grid
MA	1833	Town of Georgetown
MA	1720	Eversource Energy
MA	2673	Eversource Energy
MA	2638	Eversource Energy
MA	2072	National Grid
MA	1354	Eversource Energy
MA	1129	Eversource Energy
MA	1867	Reading Municipal Light Department
MA	1545	SELCO
MA	2128	National Grid
MA	2536	Massachusetts Electric
MA	2343	Massachusetts Electric
MA	1057	National Grid
MA	2054	Eversource Energy
MA	2421	NSTAR
MA	2780	Taunton Municipal Lighting Plant (TMLP)
MA	2351	National Grid
MA	1010	National Grid
